[06:45:10] ===================================================
[06:45:10] PHASE-2 DETAILED EXECUTION LOG
[06:45:10] ===================================================

[06:45:10] Execution Started At: 2026-02-16 06:45:10.933530

[06:45:10] Loading ONNX model...
[06:45:10] Model Loaded Successfully.
[06:45:10] Model Input Name: input
[06:45:10] Model Input Shape: ['unk__664', 224, 224, 3]

[06:45:10] Dataset verified successfully.

[06:45:10] Scanning dataset classes...

[06:45:10] Class: Bridge
[06:45:10] Images Found: 32
[06:45:11] Processed 1 | File: BRG_002.png | True: Bridge | Predicted: Bridge
[06:45:11] Processed 2 | File: BRG_003.png | True: Bridge | Predicted: Open
[06:45:11] Processed 3 | File: BRG_004.png | True: Bridge | Predicted: Bridge
[06:45:11] Processed 4 | File: BRG_030.png | True: Bridge | Predicted: Open
[06:45:11] Processed 5 | File: BRG_032.png | True: Bridge | Predicted: Bridge
[06:45:11] Processed 6 | File: BRG_021.png | True: Bridge | Predicted: Others
[06:45:11] Processed 7 | File: BRG_009.png | True: Bridge | Predicted: Others
[06:45:11] Processed 8 | File: BRG_012.png | True: Bridge | Predicted: Others
[06:45:11] Processed 9 | File: BRG_027.png | True: Bridge | Predicted: Others
[06:45:11] Processed 10 | File: BRG_006.png | True: Bridge | Predicted: CMP Scratch
[06:45:11] Processed 11 | File: BRG_008.png | True: Bridge | Predicted: CMP Scratch
[06:45:11] Processed 12 | File: BRG_020.png | True: Bridge | Predicted: Bridge
[06:45:11] Processed 13 | File: BRG_017.png | True: Bridge | Predicted: Open
[06:45:11] Processed 14 | File: BRG_028.png | True: Bridge | Predicted: Open
[06:45:11] Processed 15 | File: BRG_023.png | True: Bridge | Predicted: Clean
[06:45:11] Processed 16 | File: BRG_022.png | True: Bridge | Predicted: Others
[06:45:11] Processed 17 | File: BRG_001.png | True: Bridge | Predicted: Bridge
[06:45:11] Processed 18 | File: BRG_031.png | True: Bridge | Predicted: Bridge
[06:45:11] Processed 19 | File: BRG_025.png | True: Bridge | Predicted: CMP Scratch
[06:45:11] Processed 20 | File: BRG_007.png | True: Bridge | Predicted: Others
[06:45:11] Processed 21 | File: BRG_011.png | True: Bridge | Predicted: Others
[06:45:11] Processed 22 | File: BRG_010.png | True: Bridge | Predicted: CMP Scratch
[06:45:11] Processed 23 | File: BRG_029.png | True: Bridge | Predicted: Others
[06:45:11] Processed 24 | File: BRG_014.png | True: Bridge | Predicted: Bridge
[06:45:11] Processed 25 | File: BRG_015.png | True: Bridge | Predicted: Others
[06:45:11] Processed 26 | File: BRG_013.png | True: Bridge | Predicted: Others
[06:45:11] Processed 27 | File: BRG_024.png | True: Bridge | Predicted: CMP Scratch
[06:45:11] Processed 28 | File: BRG_019.png | True: Bridge | Predicted: CMP Scratch
[06:45:11] Processed 29 | File: BRG_026.png | True: Bridge | Predicted: Malformed Via
[06:45:11] Processed 30 | File: BRG_005.png | True: Bridge | Predicted: Bridge
[06:45:11] Processed 31 | File: BRG_018.png | True: Bridge | Predicted: Others
[06:45:11] Processed 32 | File: BRG_016.png | True: Bridge | Predicted: Bridge
[06:45:11] Class: CMP Scratch
[06:45:11] Images Found: 30
